result #	query	article title	article url	article description	total nr of results indicated by Google	Extra settings	
18	“big government” site:broadcastingcable.com/article/442481-Minority_Women_s_Organizations_Call_on_FCC_to_Ponder_Net_Neutrality_Rules.php	n/a	n/a	n/a	n/a		
19	“big government” site:macsimumnews.com/index.php/archive/net_neutrality_expected_be_debated_at_ces_2010	n/a	n/a	n/a	n/a		
20	“big government” site:netneutrality.michaelgeist.ca	n/a	n/a	n/a	n/a		
21	“big government” site:wired.com/epicenter/2009/09/net-neutrality-announcement	n/a	n/a	n/a	n/a		
22	“big government” site:wearetheweb.org	n/a	n/a	n/a	n/a		
23	“big government” site:saveournet.ca	n/a	n/a	n/a	n/a		
24	“big government” site:news.cnet.com/Net-neutrality-showdown/2009-1028_3-6055133.html	n/a	n/a	n/a	n/a		
25	“big government” site:searchnetworking.techtarget.com/sDefinition/0,,sid7_gci1207194,00.html	n/a	n/a	n/a	n/a		
26	“big government” site:thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq	Blackburn: Net neutrality is 'Fairness Doctrine for the Internet ...	http://thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq?page=18	Screw big government and the OBAMANATION of change.BY teejcee44 on 10/24/2009 at 06:42.  This article is pure corporate propaganda and outright lies. ...  	4		
27	“big government” site:thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq	Blackburn: Net neutrality is 'Fairness Doctrine for the Internet ...	http://thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq?page=4	It's just an excuse for big government to control ISPs. There's no real problem. BY Real American on 10/22/2009 at 10:50 ...thehill.com/.../63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq?... - Cached 	4		
28	“big government” site:thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq	Blackburn: Net neutrality is 'Fairness Doctrine for the Internet ...	http://thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq?page=5	Let big government into your livesâ¦asleep at the switch.BY Detter on 10/22/2009 at 12:27. Wow, this woman is an idiot and is obviously in the pockets of ATT ...  	4		
29	“big government” site:thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq	Blackburn: Net neutrality is 'Fairness Doctrine for the Internet ...	http://thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq?page=9	This is simply another big government POWER GRAB because they ~think~ they can get away with it. When is it time to start thinking about the 2nd Amendment? ...  	4		
30	“big government” site:cbc.ca/technology/story/2009/07/02/f-net-neutrality-faq.html	n/a	n/a	n/a	n/a		
31	“big government” site:pbs.org/moyers/moyersonamerica/net/neutrality.html	n/a	n/a	n/a	n/a		
32	“big government” site:digitaltrends.com/computing/net-neutrality-to-be-debated-at-ces-2010	n/a	n/a	n/a	n/a		
33	“big government” site:news.bbc.co.uk/2/hi/8315918.stm	n/a	n/a	n/a	n/a		
34	“big government” site:wisegeek.com/what-is-net-neutrality.htm	n/a	n/a	n/a	n/a		
35	“big government” site:cybertelecom.org/ci/neutral.htm	n/a	n/a	n/a	n/a		
36	“big government” site:arstechnica.com/tech-policy/news/2009/12/big-cable-pro-net-neutrality-arguments-turn-first-amendment-on-its-head.ars	n/a	n/a	n/a	n/a		
37	“big government” site:circleid.com/topics/net_neutrality	n/a	n/a	n/a	n/a		
38	“big government” site:blogs.wsj.com/digits/2009/10/18/facebook-and-twitter-founders-join-net-neutrality-wars	n/a	n/a	n/a	n/a		
39	“big government” site:cnn.com/2009/TECH/10/24/net.neutrality.politics/index.html	n/a	n/a	n/a	n/a		
40	“big government” site:publicknowledge.org/issues/network-neutrality	n/a	n/a	n/a	n/a		
41	“big government” site:freepress.net/policy/internet/net_neutrality	n/a	n/a	n/a	n/a		
42	“big government” site:online.wsj.com/article/SB125329467451823485.html	n/a	n/a	n/a	n/a		
43	“big government” site:openinternetcoalition.com	n/a	n/a	n/a	n/a		
44	“big government” site:techcrunch.com/2008/08/31/the-net-neutrality-debate-all-on-one-page	n/a	n/a	n/a	n/a		
45	“big government” site:usatoday.com/tech/news/2009-12-09-netneutrality09_CV_N.htm	n/a	n/a	n/a	n/a		
46	“new regulation” site:en.wikipedia.org/wiki/Network_neutrality	Network neutrality - Wikipedia, the free encyclopedia	http://en.wikipedia.org/wiki/Network_neutrality	Since September 2007 in Russian Federation there is a government resolution N 575, which gives new regulation rules of telematics services. ...  	1		
47	“new regulation” site:en.wikipedia.org/wiki/Network_neutrality_in_the_United_States	n/a	n/a	n/a	n/a		
48	“new regulation” site:savetheinternet.com	Net Neutrality Is a Good  Investment | Save the Internet	http://www.savetheinternet.com/blog/09/10/22/net-neutrality-good-investment	22 Oct 2009 ... McKinnon ominously warned investment and the jobs âcould be snuffed out by new regulation that chills the revenue streams to fund it.â ...  	6		
49	“new regulation” site:savetheinternet.com	Questions about Net Neutrality Opponents Still Can't Answer | Save ...	http://www.savetheinternet.com/blog/09/10/22/questions-about-net-neutrality-opponents-still-cant-answer	22 Oct 2009 ... Open Internet supporters have long combated the false claims of companies like AT&T that Net Neutrality would result in harsh new regulation  ...  	6		
50	“new regulation” site:savetheinternet.com	Frequently Asked Questions | Save the Internet	http://www.savetheinternet.com/frequently-asked-questions	Is Net Neutrality a new regulation ? Absolutely not. Net Neutrality has been part of the Internet since its inception. Pioneers like Vint Cerf and Sir Tim ...  	6		
51	“new regulation” site:savetheinternet.com	Rep. Mark Souder (IN-3) | Save the Internet	http://congress.savetheinternet.com/person/383-mark-souder	The market is a much better way to deal with neutrality and openness on the internet than new regulation . I find it a bit ironic that certain companies want ...  	6		
52	“new regulation” site:savetheinternet.com	SaveTheInternet.com Archive	http://www.savetheinternet.com/blog/2006/09/12/new-report-skewers-telco-spin-on-competition/	12 Sep 2006 ... âNet Neutrality legislation is heavy-handed new regulation .â [They ignore its history as one of the Internet's guiding  regulatory principles ...  	6		
53	“new regulation” site:savetheinternet.com	Why Consumers Demand Internet Freedom	https://www.savetheinternet.com/files/nn_fact_v_fiction_final.pdf	File Format: PDF/Adobe Acrobat - Quick View  FACT #1: Network Neutrality protections have existed for the entire history of the Internet. Fiction: Network Neutrality is â new regulation .â ...  	6		
54	“new regulation” site:biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front	n/a	n/a	n/a	n/a		
55	“new regulation” site:reclaimthemedia.org/broadband/cable/new_study_suggests_net_neutral0701	n/a	n/a	n/a	n/a		
56	“new regulation” site:broadcastingcable.com/article/442481-Minority_Women_s_Organizations_Call_on_FCC_to_Ponder_Net_Neutrality_Rules.php	n/a	n/a	n/a	n/a		
57	“new regulation” site:macsimumnews.com/index.php/archive/net_neutrality_expected_be_debated_at_ces_2010	n/a	n/a	n/a	n/a		
58	“new regulation” site:netneutrality.michaelgeist.ca	CRTC Submissions Set the Course For New Media Hearings | Neutrality	http://netneutrality.michaelgeist.ca/crtc-submissions-set-course-new-media-hearings	A handful of broadcasters also  support new regulation . The CBC maintains that " new media content aggregators" should be regulated, while Sirius Satellite ...netneutrality.michaelgeist.ca/crtc-submissions-set-course-new-media-hearings - Cached 	3		
59	“new regulation” site:netneutrality.michaelgeist.ca	CRTC New Media Hearing: The Three Battleground Issues [Updated ...	http://netneutrality.michaelgeist.ca/crtc-new-media-hearing-three-battleground-issues-updated	... CRTC to regulate new media content aggregators, while Sirius satellite radio wants Internet radio delivered to mobile devices to face new regulation .] ...  	3		
60	“new regulation” site:netneutrality.michaelgeist.ca	CRTC Network Management Hearings, Day Five: Telus, Cogeco, Barrett ...	http://netneutrality.michaelgeist.ca/crtc-network-management-hearings-day-five-telus-cogeco-barrett-xplore	The threat of new regulation that could constrain ability to earn a reasonable profit is a scary thing for ISPs. Basic issues are easy to identify and ...  	3		
61	“new regulation” site:wired.com/epicenter/2009/09/net-neutrality-announcement	n/a	n/a	n/a	n/a		
62	“new regulation” site:wearetheweb.org	n/a	n/a	n/a	n/a		
63	“new regulation” site:saveournet.ca	n/a	n/a	n/a	n/a		
64	“new regulation” site:news.cnet.com/Net-neutrality-showdown/2009-1028_3-6055133.html	n/a	n/a	n/a	n/a		
65	“new regulation” site:searchnetworking.techtarget.com/sDefinition/0,,sid7_gci1207194,00.html	n/a	n/a	n/a	n/a		
66	“new regulation” site:thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq	Blackburn: Net neutrality is 'Fairness Doctrine for the Internet ...	http://thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq?page=4	So, pardon me if I'm not falling for the nicey-nice propaganda about how wonderful this new regulation is going to be for everybody. ...  	1		
67	“new regulation” site:cbc.ca/technology/story/2009/07/02/f-net-neutrality-faq.html	n/a	n/a	n/a	n/a		
68	“new regulation” site:pbs.org/moyers/moyersonamerica/net/neutrality.html	n/a	n/a	n/a	n/a		
69	“new regulation” site:digitaltrends.com/computing/net-neutrality-to-be-debated-at-ces-2010	n/a	n/a	n/a	n/a		
70	“new regulation” site:news.bbc.co.uk/2/hi/8315918.stm	n/a	n/a	n/a	n/a		
71	“new regulation” site:wisegeek.com/what-is-net-neutrality.htm	n/a	n/a	n/a	n/a		
72	“new regulation” site:cybertelecom.org/ci/neutral.htm	n/a	n/a	n/a	n/a		
73	“new regulation” site:arstechnica.com/tech-policy/news/2009/12/big-cable-pro-net-neutrality-arguments-turn-first-amendment-on-its-head.ars	n/a	n/a	n/a	n/a		
74	“new regulation” site:circleid.com/topics/net_neutrality	n/a	n/a	n/a	n/a		
75	“new regulation” site:blogs.wsj.com/digits/2009/10/18/facebook-and-twitter-founders-join-net-neutrality-wars	n/a	n/a	n/a	n/a		
76	“new regulation” site:cnn.com/2009/TECH/10/24/net.neutrality.politics/index.html	n/a	n/a	n/a	n/a		
77	“new regulation” site:publicknowledge.org/issues/network-neutrality	n/a	n/a	n/a	n/a		
78	“new regulation” site:freepress.net/policy/internet/net_neutrality	n/a	n/a	n/a	n/a		
79	“new regulation” site:online.wsj.com/article/SB125329467451823485.html	n/a	n/a	n/a	n/a		
80	“new regulation” site:openinternetcoalition.com	n/a	n/a	n/a	n/a		
81	“new regulation” site:techcrunch.com/2008/08/31/the-net-neutrality-debate-all-on-one-page	n/a	n/a	n/a	n/a		
82	“new regulation” site:usatoday.com/tech/news/2009-12-09-netneutrality09_CV_N.htm	n/a	n/a	n/a	n/a		
83	nationalization site:en.wikipedia.org/wiki/Network_neutrality	n/a	n/a	n/a	n/a		
84	nationalization site:en.wikipedia.org/wiki/Network_neutrality_in_the_United_States	n/a	n/a	n/a	n/a		
85	nationalization site:savetheinternet.com	H. R. 2052	https://www.savetheinternet.com/files/HR_2052_Burr-Dingell.pdf	File Format: PDF/Adobe Acrobat - Quick View  (7) The possibility of further nationalization . 13 threatens the current give- and-take between ... and to prevent the further nationalization of the tel-  ...https://www.savetheinternet.com/files/HR_2052_Burr-Dingell.pdf 	2		
86	nationalization site:savetheinternet.com	Anonymous | Save the Internet	http://www.savetheinternet.com/story/4597	The only solution I can see is the Nationalization of Communication and therefor elimination of the need to exploit the poorest Americans proportional more ...  	2		
87	nationalization site:biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front	n/a	n/a	n/a	n/a		
88	nationalization site:reclaimthemedia.org/broadband/cable/new_study_suggests_net_neutral0701	n/a	n/a	n/a	n/a		
89	nationalization site:broadcastingcable.com/article/442481-Minority_Women_s_Organizations_Call_on_FCC_to_Ponder_Net_Neutrality_Rules.php	n/a	n/a	n/a	n/a		
90	nationalization site:macsimumnews.com/index.php/archive/net_neutrality_expected_be_debated_at_ces_2010	n/a	n/a	n/a	n/a		
91	nationalization site:netneutrality.michaelgeist.ca	n/a	n/a	n/a	n/a		
92	nationalization site:wired.com/epicenter/2009/09/net-neutrality-announcement	n/a	n/a	n/a	n/a		
93	nationalization site:wearetheweb.org	n/a	n/a	n/a	n/a		
94	nationalization site:saveournet.ca	n/a	n/a	n/a	n/a		
95	nationalization site:news.cnet.com/Net-neutrality-showdown/2009-1028_3-6055133.html	n/a	n/a	n/a	n/a		
96	nationalization site:searchnetworking.techtarget.com/sDefinition/0,,sid7_gci1207194,00.html	n/a	n/a	n/a	n/a		
97	nationalization site:thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq	n/a	n/a	n/a	n/a		
98	nationalization site:cbc.ca/technology/story/2009/07/02/f-net-neutrality-faq.html	n/a	n/a	n/a	n/a		
99	nationalization site:pbs.org/moyers/moyersonamerica/net/neutrality.html	n/a	n/a	n/a	n/a		
100	nationalization site:digitaltrends.com/computing/net-neutrality-to-be-debated-at-ces-2010	n/a	n/a	n/a	n/a		
101	nationalization site:news.bbc.co.uk/2/hi/8315918.stm	n/a	n/a	n/a	n/a		
102	nationalization site:wisegeek.com/what-is-net-neutrality.htm	n/a	n/a	n/a	n/a		
103	nationalization site:cybertelecom.org/ci/neutral.htm	n/a	n/a	n/a	n/a		
104	nationalization site:arstechnica.com/tech-policy/news/2009/12/big-cable-pro-net-neutrality-arguments-turn-first-amendment-on-its-head.ars	n/a	n/a	n/a	n/a		
105	nationalization site:circleid.com/topics/net_neutrality	n/a	n/a	n/a	n/a		
106	nationalization site:blogs.wsj.com/digits/2009/10/18/facebook-and-twitter-founders-join-net-neutrality-wars	n/a	n/a	n/a	n/a		
107	nationalization site:cnn.com/2009/TECH/10/24/net.neutrality.politics/index.html	n/a	n/a	n/a	n/a		
108	nationalization site:publicknowledge.org/issues/network-neutrality	n/a	n/a	n/a	n/a		
109	nationalization site:freepress.net/policy/internet/net_neutrality	n/a	n/a	n/a	n/a		
110	nationalization site:online.wsj.com/article/SB125329467451823485.html	n/a	n/a	n/a	n/a		
111	nationalization site:openinternetcoalition.com	n/a	n/a	n/a	n/a		
112	nationalization site:techcrunch.com/2008/08/31/the-net-neutrality-debate-all-on-one-page	The Net Neutrality Debate All On One Page	http://www.techcrunch.com/2008/08/31/the-net-neutrality-debate-all-on-one-page/	31 Aug 2008 ... Federal government regulation or nationalization is also very scary and while the Feds pretty much have a blank check to do whatever they ...  	1		
113	nationalization site:usatoday.com/tech/news/2009-12-09-netneutrality09_CV_N.htm	n/a	n/a	n/a	n/a		
114	socialism site:en.wikipedia.org/wiki/Network_neutrality	n/a	n/a	n/a	n/a		
115	socialism site:en.wikipedia.org/wiki/Network_neutrality_in_the_United_States	n/a	n/a	n/a	n/a		
116	socialism site:savetheinternet.com	Who Really Owns Your Phone? | Save the Internet	http://www.savetheinternet.com/blog/09/06/16/who-really-owns-your-phone	16 Jun 2009 ... If this is socialism , then we've been socialists for many decades. A more modern example of this type of negotiation is how the database ...  	10		
117	socialism site:savetheinternet.com	Will 'Astroturf' Groups Block Net Neutrality Reform? | Save the ...	http://www.savetheinternet.com/blog/09/09/03/will-%E2%80%98astroturf%E2%80%99-groups-block-net-neutrality-reform	3 Sep 2009 ... Scott Cleland, who heads the operation, has made it his job to bash Net Neutrality, even likening it to socialism : "Just like the Soviet ...  	10		
118	socialism site:savetheinternet.com	Keep Off the Astroturf | Save the Internet	http://www.savetheinternet.com/blog/09/08/19/keep-astroturf	19 Aug 2009 ... The Boy Who Cried Socialism . All Net Neutrality really does is protect market ... And oppose it he has: "Just like the Soviet socialists , ...  	10		
119	socialism site:savetheinternet.com	Time for Net Neutrality  | Save the Internet	http://www.savetheinternet.com/blog/09/10/30/time-net-neutrality	30 Oct 2009 ...  socialism sucks. By really rand (not verified) on October 31, 2009. socialism is not an answer! Blogger Bio. Rep. Ed Markey ...  	10		
120	socialism site:savetheinternet.com	The cable news "fascist socialist" apocalypse | Free Press	https://www.savetheinternet.com/node/56585	Amidst economic crisis, is America drifting towards socialism ? Or fascism? Or some "weirdo" hybrid of both?! Only cable McNews has the answer. ...  	10		
121	socialism site:savetheinternet.com	Must See Videos | Free Press	https://www.savetheinternet.com/audio/by/title/sprouts_11_07_07	Amidst economic crisis, is America drifting towards socialism ? Or fascism? Or some "weirdo" hybrid of both?! Only cable McNews has the answer. ...  	10		
122	socialism site:savetheinternet.com	JANET HENRY | Save the Internet	http://www.savetheinternet.com/story/23001	Free Internet will help to keep us from falling further into Communism/ Socialism . Not everyone has the ability to read the congressional reports etc. ...www.savetheinternet.com/story/23001 - Cached 	10		
123	socialism site:savetheinternet.com	Save the Internet | Join the fight for Internet Freedom	http://www.savetheinternet.com/node?page=2067	Don't bow to socialism -- fight it! Net Neutrality is essential to free speech, equal opportunity and economic innovation in America. ...  	10		
124	socialism site:savetheinternet.com	Save the Internet	http://www.savetheinternet.com/stories/all?page=1112	How is total control by two or three companies different from a monopoly? or socialism ? or communism? In a "free" society, speech should be free. ...  	10		
125	socialism site:savetheinternet.com	Miklos Palmer |  Save the Internet	http://www.savetheinternet.com/story/12494	... a government and few companies that control all aspects of our market with no social care we have effectively skiped socialism and gone to communism. ...  	10		
126	socialism site:biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front	Â» The Left Continues to Break: More Cracks in Net Neutrality Front ...	http://biggovernment.com/2010/01/06/the-left-continues-to-break-more-cracks-in-net-neutrality-front/		1		
127	socialism site:reclaimthemedia.org/broadband/cable/new_study_suggests_net_neutral0701	n/a	n/a	n/a	n/a		
128	socialism site:broadcastingcable.com/article/442481-Minority_Women_s_Organizations_Call_on_FCC_to_Ponder_Net_Neutrality_Rules.php	n/a	n/a	n/a	n/a		
129	socialism site:macsimumnews.com/index.php/archive/net_neutrality_expected_be_debated_at_ces_2010	n/a	n/a	n/a	n/a		
130	socialism site:netneutrality.michaelgeist.ca	n/a	n/a	n/a	n/a		
131	socialism site:wired.com/epicenter/2009/09/net-neutrality-announcement	FCC Backs Net Neutrality â And Then Some | Epicenter | Wired.com	http://www.wired.com/epicenter/2009/09/net-neutrality-announcement/	Socialism is not the answer. Who is John Galt? Posted by: gregsky88 | 12/8/09 | 9:35 am. An interesting web tying in NBC/Comcast merger approval, ...  	1		
132	socialism site:wearetheweb.org	n/a	n/a	n/a	n/a		
133	socialism site:saveournet.ca	n/a	n/a	n/a	n/a		
134	socialism site:news.cnet.com/Net-neutrality-showdown/2009-1028_3-6055133.html	n/a	n/a	n/a	n/a		
135	socialism site:searchnetworking.techtarget.com/sDefinition/0,,sid7_gci1207194,00.html	n/a	n/a	n/a	n/a		
136	socialism site:thehill.com/blogs//hillicon-valley/605-technology/63875-blackburn-net-neutrality-is-qfairness-doctrine-for-the-internetq	n/a	n/a	n/a	n/a		
137	socialism site:cbc.ca/technology/story/2009/07/02/f-net-neutrality-faq.html	n/a	n/a	n/a	n/a		
138	socialism site:pbs.org/moyers/moyersonamerica/net/neutrality.html	n/a	n/a	n/a	n/a		
139	socialism site:digitaltrends.com/computing/net-neutrality-to-be-debated-at-ces-2010	n/a	n/a	n/a	n/a		
140	socialism site:news.bbc.co.uk/2/hi/8315918.stm	n/a	n/a	n/a	n/a		
141	socialism site:wisegeek.com/what-is-net-neutrality.htm	n/a	n/a	n/a	n/a		
142	socialism site:cybertelecom.org/ci/neutral.htm	n/a	n/a	n/a	n/a		
143	socialism site:arstechnica.com/tech-policy/news/2009/12/big-cable-pro-net-neutrality-arguments-turn-first-amendment-on-its-head.ars	n/a	n/a	n/a	n/a		
144	socialism site:circleid.com/topics/net_neutrality	CircleID - Net Neutrality News, Opinions and Blogs	http://www.circleid.com/topics/net_neutrality/blogs/P60/		1		
145	socialism site:blogs.wsj.com/digits/2009/10/18/facebook-and-twitter-founders-join-net-neutrality-wars	Facebook and Twitter Founders Join Net-Neutrality Wars - Digits - WSJ	http://blogs.wsj.com/digits/2009/10/18/facebook-and-twitter-founders-join-net-neutrality-wars/	18 Oct 2009 ... derek, net neutrality fosters free market enterprise - rather the opposite of socialism . retard. et al; the only reason i oppose net ...  	1		
146	socialism site:cnn.com/2009/TECH/10/24/net.neutrality.politics/index.html	n/a	n/a	n/a	n/a		
147	socialism site:publicknowledge.org/issues/network-neutrality	n/a	n/a	n/a	n/a		
148	socialism site:freepress.net/policy/internet/net_neutrality	n/a	n/a	n/a	n/a		
149	socialism site:online.wsj.com/article/SB125329467451823485.html	n/a	n/a	n/a	n/a		
150	socialism site:openinternetcoalition.com	Towards an Economic Framework for Network Neutrality Regula-tion	http://www.openinternetcoalition.com/index.cfm?objectid=4A52C5A5-F1F6-6035-B40F07C6EAD4D36F	File Format: PDF/Adobe Acrobat - Quick View  CAPITALISM, SOCIALISM AND DEMOCRACY, 81-86 (Harper Perennial 1975); see also Dennis. W. Carlton & Robert H. Gertner, Intellectual Property,  Antitrust and ...  	1		
151	socialism site:techcrunch.com/2008/08/31/the-net-neutrality-debate-all-on-one-page	n/a	n/a	n/a	n/a		
152	socialism site:usatoday.com/tech/news/2009-12-09-netneutrality09_CV_N.htm	n/a	n/a	n/a	n/a		
153	“quality of service” site:en.wikipedia.org/wiki/Network_neutrality	Network neutrality - Wikipedia, the free encyclopedia	http://en.wikipedia.org/wiki/Network_neutrality	Critics of net neutrality also argue that data discrimination of some kinds, particularly to guarantee quality of service , is not problematic, ...  	2		
154	“quality of service” site:en.wikipedia.org/wiki/Network_neutrality	Network neutrality - Wikipedia, the free encyclopedia	http://en.wikipedia.org/wiki/Network_neutrality?(none)	Jump to Quality of service â: Many networks using Internet protocols now employ quality of service (QoS), and Network Service Providers frequently enter ...  	2		
155	“quality of service” site:en.wikipedia.org/wiki/Network_neutrality_in_the_United_States	Network neutrality in the United States - Wikipedia, the free ...	http://en.wikipedia.org/wiki/Network_neutrality_in_the_United_States	Given this ability  to accelerate the handling of selected packets, the service providers would perhaps give Quality of Service guarantees to given senders ...  	1		
156	“quality of service” site:savetheinternet.com	Ex Parte Filing United States Department of Justice In the Matter ...	https://www.savetheinternet.com/files/doj225767.pdf	File Format: PDF/Adobe Acrobat - Quick View  by EXP FILING - Related articles - All 762 versions  quality of service , preferential treatment of certain content, .....  quality of service to everyone may be inefficient and reduce overall welfare. ...  	55		
157	“quality of service” site:savetheinternet.com	A Legal Look at the Comcast Case | Save the Internet	http://www.savetheinternet.com/blog/09/10/07/legal-look-comcast-case	7 Oct 2009 ... It's true that Comcast never cut off the entire internet, but they need a better way of maintaining quality of service - like maintaining ...  	55		
158	“quality of service” site:savetheinternet.com	A BILL	https://www.savetheinternet.com/files/dorgan_snowe_110th_0.pdf	including with respect to quality of service , ac-. 23 cess, speed, and bandwidth ; ... speed, quality of service, and bandwidth that ...https://www.savetheinternet.com/files/dorgan_snowe_110th_0.pdf - Similar 	55		
159	“quality of service” site:savetheinternet.com	Deep Packet Inspection:	https://www.savetheinternet.com/files/Deep_Packet_Inspection_The_End_of_the_Internet_As_We_Know_It.pdf	File Format: PDF/Adobe Acrobat - View as HTML  by WEK IT - Related articles - All 9 versions  18 Mar 2009 ... Zeugma enables service providers to sell QoS [ Quality of Service ] to content delivery networks such as Akamai, insert customer-specific ...  	55		
160	“quality of service” site:savetheinternet.com	Net Neutrality in the Front Seat | Save the Internet	http://www.savetheinternet.com/blog/08/12/14/net-neutrality-front-seat	He's explicitly opposed paid â quality of service â arrangements and was also a co -sponsor of the Dorgan-Snowe bill that is the strongest Net Neutrality ...www.savetheinternet.com/blog/08/12/14/net-neutrality-front-seat - Cached 	55		
161	“quality of service” site:savetheinternet.com	Why Consumers Demand Internet Freedom	https://www.savetheinternet.com/files/nn_fact_v_fiction_final.pdf	File Format: PDF/Adobe Acrobat - Quick View  with the network, it is guaranteed quality of service .9 If the content is from an ..... to start charging for access to sustain their quality of service . ...  	55		
162	“quality of service” site:savetheinternet.com	New FCC Chair Brings Us One Step Closer to Net Neutrality | Save ...	http://www.savetheinternet.com/blog/09/06/26/new-fcc-chair-brings-us-one-step-closer-net-neutrality	26 Jun 2009 ... managing their networks or containing their costs, would  destroy competition , raise prices to consumers, and degrade quality of service. ...www.savetheinternet.com/.../new-fcc-chair-brings-us-one-step-closer-net-neutrality - Cached 	55		
